source_row,vehicle_group,source_full_item_name,source_item_name,system_category,source_item_group,source_unit,normalized_uom,item_code,item_name,catalog_type,stock_item,source_exclusive,source_vat,source_inclusive,vat_arithmetic_delta,price_status,status,review_reason
46,Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine INSULATOR-ENGIN (Engine mounting, rear)","INSULATOR-ENGIN (Engine mounting, rear)",Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-INSULATOR-ENGIN-ENGINE-MOUNTING-REAR,"Nissan vehicles – YD25 engine - INSULATOR-ENGIN (Engine mounting, rear)",stock,1,3414805.00,614665.00,4029469.00,1.00,ready,ready,
47,Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine INSULATOR-ENG M (Engine mounting, front)","INSULATOR-ENG M (Engine mounting, front)",Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-INSULATOR-ENG-M-ENGINE-MOUNTING-FRONT,"Nissan vehicles – YD25 engine - INSULATOR-ENG M (Engine mounting, front)",stock,1,763179.00,137372.00,900551.00,0.00,ready,ready,
48,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Plug Drain,Plug Drain,Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-PLUG-DRAIN,Nissan vehicles – YD25 engine - Plug Drain,stock,1,23475.00,4225.00,27700.00,0.00,ready,ready,
49,Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine ENGINE BARE, complete engine assy","ENGINE BARE, complete engine assy",Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-ENGINE-BARE-COMPLETE-ENGINE-ASSY,"Nissan vehicles – YD25 engine - ENGINE BARE, complete engine assy",stock,1,99984273.00,17997169.00,117981442.00,0.00,ready,ready,
50,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine RING SET-PISTON (Piston rings),RING SET-PISTON (Piston rings),Engine Components,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-RING-SET-PISTON-PISTON-RINGS,Nissan vehicles – YD25 engine - RING SET-PISTON (Piston rings),stock,1,2175137.00,391525.00,2566662.00,0.00,ready,ready,
51,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine PISTON WITH PIN (Piston),PISTON WITH PIN (Piston),Engine Components,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-PISTON-WITH-PIN-PISTON,Nissan vehicles – YD25 engine - PISTON WITH PIN (Piston),stock,1,5519817.00,993567.00,6513384.00,0.00,ready,ready,
52,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Bearing Set (Main bearings),Bearing Set (Main bearings),Engine Components,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-BEARING-SET-MAIN-BEARINGS,Nissan vehicles – YD25 engine - Bearing Set (Main bearings),stock,1,300737.00,54133.00,354870.00,0.00,ready,ready,
53,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BUSHING SET-CON (Piece bearings),BUSHING SET-CON (Piece bearings),Engine Components,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-BUSHING-SET-CON-PIECE-BEARINGS,Nissan vehicles – YD25 engine - BUSHING SET-CON (Piece bearings),stock,1,125211.00,22538.00,147749.00,0.00,ready,ready,
54,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Block Sleeve,Block Sleeve,Engine Components,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-BLOCK-SLEEVE,Nissan vehicles – YD25 engine - Block Sleeve,stock,1,1484516.00,267213.00,1751729.00,0.00,ready,ready,
55,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine GASKET-ENGINE (Overhaul gasket kit),GASKET-ENGINE (Overhaul gasket kit),Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-GASKET-ENGINE-OVERHAUL-GASKET-KIT,Nissan vehicles – YD25 engine - GASKET-ENGINE (Overhaul gasket kit),stock,1,1518614.00,273350.00,1791964.00,0.00,ready,ready,
