name,item_code,price_list,price_list_rate,uom,currency,selling,buying,note,reference
,ASM-NISSAN-VEHICLES-YD25-ENGINE-PAD-KIT-DISC-BRAKE-PADS-FRONT,Standard Selling,739947.00,PCS,UGX,1,0,Source VAT: 133191.00; source inclusive: 873138.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-CARRIER-CALIPER-BKT,Standard Selling,824387.00,PCS,UGX,1,0,Source VAT: 148390.00; source inclusive: 972777.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-CALIPER-KIT-REPAIR,Standard Selling,824387.00,PCS,UGX,1,0,Source VAT: 148390.00; source inclusive: 972777.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-BRAKE-CALIPER,Standard Selling,824387.00,PCS,UGX,1,0,Source VAT: 148390.00; source inclusive: 972777.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-BRAKE-DISC,Standard Selling,794323.00,PCS,UGX,1,0,Source VAT: 142978.00; source inclusive: 937301.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-BRAKE-DRUM,Standard Selling,1479355.00,PCS,UGX,1,0,Source VAT: 266284.00; source inclusive: 1745639.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-BRAKE-LIGHT-SWITCHE,Standard Selling,193032.00,PCS,UGX,1,0,Source VAT: 34746.00; source inclusive: 227778.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-BRAKE-SHOES,Standard Selling,1181032.00,PCS,UGX,1,0,Source VAT: 212586.00; source inclusive: 1393618.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-BRAKE-PADS,Standard Selling,904387.00,PCS,UGX,1,0,Source VAT: 162790.00; source inclusive: 1067177.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-BRAKE-SERVO,Standard Selling,1371613.00,PCS,UGX,1,0,Source VAT: 246890.00; source inclusive: 1618503.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-BRAKE-PUMP,Standard Selling,6319355.00,PCS,UGX,1,0,Source VAT: 1137484.00; source inclusive: 7456839.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-FORD-VEHICLES-T6-TUBE-SLAVE-CYLINDER,Standard Selling,623351.00,PCS,UGX,1,0,Source VAT: 112203.00; source inclusive: 735554.00; arithmetic delta: 0.00,docs/item details.csv
