name,item_code,item_name,item_group,stock_uom,description,is_stock_item,is_sales_item,is_purchase_item,disabled
,ASM-NISSAN-VEHICLES-KA24-ENGINE-BUSH-STAB-STABILISER-BAR-BUSHES-BIG,"Nissan vehicles – KA24 engine - BUSH STAB (Stabiliser bar bushes, big)",Suspension & Steering System,Set,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: Set,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-STABILISER-BAR-BUSHES-SMALL,"Nissan vehicles – KA24 engine - Stabiliser bar bushes, small",Suspension & Steering System,Set,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: Set,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-BUSH-RR-SPR-RR-SPRING-BUSHES-SMALL,"Nissan vehicles – KA24 engine - BUSH RR SPR RR (Spring bushes, small)",Suspension & Steering System,Set,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: Set,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-BUSH-SPRING-SPRING-BUSHES-BIG,"Nissan vehicles – KA24 engine - Bush-spring (Spring bushes, big)",Suspension & Steering System,Set,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: Set,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-SPRING-ASSY-RR-LEAF-SPRING-COMPLETE,"Nissan vehicles – KA24 engine - SPRING ASSY RR (Leaf spring, complete)",Suspension & Steering System,Set,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: Set,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-CLIP-RR-SPRING-LEAF-SPRING-CLAMPS,Nissan vehicles – KA24 engine - Clip RR Spring (leaf spring clamps),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-SEAT-ASSY-RR-SP-U-BOLTS-MOUNTING-PLATES-SET,Nissan vehicles – KA24 engine - SEAT ASSY-RR SP U - bolts mounting plates - set,Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-PAD-ASSY-RR-SPR-LEAF-SPRING-SEAT,Nissan vehicles – KA24 engine - PAD ASSY-RR SPR (Leaf spring seat),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-ARM-ASSY-FR-SPR-ANCHOR-ARM,Nissan vehicles – KA24 engine - ARM ASSY FR SPR (Anchor arm),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-ARM-ASSY-ANCHOR-ANCHOR-ARM,Nissan vehicles – KA24 engine - ARM ASSY ANCHOR (Anchor arm),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-PULLEY-PUMP-POWER-STEERING-PUMP-PULLEY,Nissan vehicles – KA24 engine - PULLEY-PUMP (Power steering pump pulley),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-POWER-PUMP-ASSY-STEERING-PUMP,Nissan vehicles – KA24 engine - Power Pump assy (Steering pump),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-ARMKIT-PITMAN-PITMAN-ARM,Nissan vehicles – KA24 engine - ArmKit-Pitman+- (Pitman arm),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-IDLER-KIT-TEL-IDLER-ARM,Nissan vehicles – KA24 engine - Idler Kit **tel (Idler arm),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-COLUMN-ASSY-STE-STEERING-COLUMN,Nissan vehicles – KA24 engine - COLUMN ASSY-STE (steering column),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-WHEEL-ASSY-STEE-STEERING-WHEEL,Nissan vehicles – KA24 engine - WHEEL ASSY-STEE (Steering wheel),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-TRANSFER-CASE-SEAL,Nissan vehicles – KA24 engine - Transfer case seal,Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-BRNG-KIT-CENTR-CENTER-BEARING,Nissan vehicles – KA24 engine - BRNG. Kit Centr (Center bearing),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-CLUTCH-DISC-CLUTCH-PLATE,Nissan vehicles – KA24 engine - Clutch Disc (Clutch plate),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-COVER-CLUTCH-PRESSURE-PLATE,Nissan vehicles – KA24 engine - Cover-Clutch (Pressure plate),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-BEARING-CLUTCH-RELEASE-BEARING,Nissan vehicles – KA24 engine - Bearing Clutch (Release bearing),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-SPRING-RETURN-RETURN-SPRING,Nissan vehicles – KA24 engine - Spring-return (Return spring),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-PEDAL-ASSY-CLUT-CLUTCH-PEDAL-ASSEMBLY,Nissan vehicles – KA24 engine - Pedal Assy Clut (Clutch pedal assembly),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-TRANSMISSION-GEARBOX-ASSEMBLY,Nissan vehicles – KA24 engine - TRANSMISSION (Gearbox assembly),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-RR-EXC-BRAKES-A,Nissan vehicles – KA24 engine - RR EXC BRAKES A (,Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-SFT-RR-AXLE-RH-DIFFERENTIAL-SHAFT-RH,Nissan vehicles – KA24 engine - SFT-RR AXLE RH (Differential shaft RH),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-SFT-RR-AXLE-DIFFERENTIAL-SHAFT-LH,Nissan vehicles – KA24 engine - SFT-RR Axle (Differential shaft LH),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-SEAL-GREASE-R-GREASE-SEAL,Nissan vehicles – KA24 engine - Seal - Grease R (Grease seal),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-BRG-ASSY-TAPE,Nissan vehicles – KA24 engine - BRG Assy - Tape,Transmission System,Set,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: Set,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-FLYWHELL-ASSY,Nissan vehicles – KA24 engine - FLYWHELL ASSY,Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-SEAL-TRANSFER-CASE-SEAL,Nissan vehicles – KA24 engine - Seal (Transfer case seal),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-INSULATOR-ENGIN-GEARBOX-MOUNTINGS,Nissan vehicles – KA24 engine - INSULATOR-ENGIN (Gearbox mountings),Transmission System,Set,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: Set,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-CASE-TRANSFER-F-TRANSFER-CASE-FRONT,"Nissan vehicles – KA24 engine - Case Transfer F (Transfer case, front)",Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-CASE-TRANSFER-CASE-CENTER,"Nissan vehicles – KA24 engine - Case (Transfer case, center)",Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-CASE-TRANSFER-DIFFERENTIAL-CASE,Nissan vehicles – KA24 engine - CASE-TRANSFER (Differential case),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-HIGH-GEAR-COVER,Nissan vehicles – KA24 engine - High gear cover,Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-CROSS-BEARING,Nissan vehicles – KA24 engine - Cross bearing,Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-ALLOY-WHEEL-RIM,Nissan vehicles – KA24 engine - Alloy Wheel (Rim),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-TYRE-REPAIR-PER-TYRE,Nissan vehicles – KA24 engine - Tyre repair (per tyre),Transmission System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Transmission System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
