Vehicle Group,full item name,System Category,Item Name,item group,Unit,Price VAT tax Excl (source),VAT tax,price VAT tax Incl (source)
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine MNTG Bracket (Exhaust mounting, front)",Exhaust System,"MNTG Bracket (Exhaust mounting, front)",Auto Parts,PC,"148,480.00","26,726.00","175,206.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BRKT EXH MTG (Exhaust pipe bracket),Exhaust System,BRKT EXH MTG (Exhaust pipe bracket),Auto Parts,PC,"35,577.00","6,404.00","41,981.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Insul-heat Exh (Exhaust insulator),Exhaust System,Insul-heat Exh (Exhaust insulator),Auto Parts,PC,"41,693.00","7,505.00","49,198.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine INJECTOR-FUEL (Injector Nozzle, complete)",Fuel Supply System,"INJECTOR-FUEL (Injector Nozzle, complete)",Auto Parts,Set,"20,764,687.00","3,737,644.00","24,502,331.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine 16401-VC10C COVER-UPPER (Fuel Lift pump),Fuel Supply System,16401-VC10C COVER-UPPER (Fuel Lift pump),Auto Parts,PC,"319,325.00","57,478.00","376,803.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Gasket-nozzle (Injector Nozzle seal),Fuel Supply System,Gasket-nozzle (Injector Nozzle seal),Auto Parts,Set,"77,513.00","13,952.00","91,465.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine TUBE ASSY-FUEL (Fuel return pipe),Fuel Supply System,TUBE ASSY-FUEL (Fuel return pipe),Auto Parts,PC,"5,720,165.00","1,029,630.00","6,749,795.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine TUBE ASSY-INJEC (Fuel rail),Fuel Supply System,TUBE ASSY-INJEC (Fuel rail),Auto Parts,PC,"454,772.00","81,859.00","536,631.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine TUBE-INJECTION (Fuel rail pipe1),Fuel Supply System,TUBE-INJECTION (Fuel rail pipe1),Auto Parts,PC,"293,330.00","52,799.00","346,130.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine TUBE ASSY-INJEC (Fuel rail pipe2),Fuel Supply System,TUBE ASSY-INJEC (Fuel rail pipe2),Auto Parts,PC,"450,321.00","81,058.00","531,378.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine TUBE ASSY-INJEC (Fuel rail pipe3),Fuel Supply System,TUBE ASSY-INJEC (Fuel rail pipe3),Auto Parts,PC,"297,427.00","53,537.00","350,963.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine TUBE ASSY-INJEC (Fuel rail pipe4),Fuel Supply System,TUBE ASSY-INJEC (Fuel rail pipe4),Auto Parts,PC,"608,639.00","109,555.00","718,194.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine O RING (Tank belt clamp),Fuel Supply System,O RING (Tank belt clamp),Auto Parts,PC,"36,568.00","6,582.00","43,150.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Cap-filler-scre (Fuel tank cap - rubber),Fuel Supply System,Cap-filler-scre (Fuel tank cap - rubber),Auto Parts,PC,"212,132.00","38,184.00","250,316.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Manifold Assy-I (Intake manifold ass),Fuel Supply System,Manifold Assy-I (Intake manifold ass),Auto Parts,PC,"3,442,376.00","619,628.00","4,062,003.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Suction control valve,Fuel Supply System,Suction control valve,Auto Parts,PC,"1,534,000.00","276,120.00","1,810,120.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Fuel filter sensor,Fuel Supply System,Fuel filter sensor,Auto Parts,PC,"609,507.00","109,711.00","719,218.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Gasket-manifold,Fuel Supply System,Gasket-manifold,Auto Parts,PC,"282,556.00","50,860.00","333,416.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Injector nozzle service,Fuel Supply System,Injector nozzle service,Auto Parts,PC,"1,244,566.00","224,022.00","1,468,588.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Injector pump service,Fuel Supply System,Injector pump service,Auto Parts,PC,"3,800,000.00","6,840,000.00","4,484,000.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Link Compl-fr S (Ball joint - upper LH),Suspension & Steering System,Link Compl-fr S (Ball joint - upper LH),Auto Parts,PC,"1,116,122.00","200,902.00","1,317,023.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine LINK COMPL RH (Ball joint - upper RH),Suspension & Steering System,LINK COMPL RH (Ball joint - upper RH),Auto Parts,PC,"1,116,122.00","200,902.00","1,317,023.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Link Compl-fr S (Ball joint - lower RH),Suspension & Steering System,Link Compl-fr S (Ball joint - lower RH),Auto Parts,PC,"1,129,683.00","203,343.00","1,333,026.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Link Compl-fr S (Ball joint - lower LH),Suspension & Steering System,Link Compl-fr S (Ball joint - lower LH),Auto Parts,PC,"1,129,683.00","203,343.00","1,333,026.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Rod Kit-relay * (Track rod),Suspension & Steering System,Rod Kit-relay * (Track rod),Auto Parts,PC,"1,899,857.00","341,974.00","2,241,831.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Rod Kit - Tie; (Tie rod ends),Suspension & Steering System,Rod Kit - Tie; (Tie rod ends),Auto Parts,Set,"1,992,858.00","358,714.00","2,351,572.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine ABSORBER-SHOCK (Front shock absorbers),Suspension & Steering System,ABSORBER-SHOCK (Front shock absorbers),Auto Parts,Set,"809,834.00","145,770.00","955,604.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Bush *telex* (Shock absorber bushes),Suspension & Steering System,Bush *telex* (Shock absorber bushes),Auto Parts,Set,"72,313.00","13,016.00","85,330.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Shock RR 2WD KA (rear shock absorbers),Suspension & Steering System,Shock RR 2WD KA (rear shock absorbers),Auto Parts,Set,"766,003.00","137,881.00","903,884.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine BUSH STAB (Stabiliser bar bushes, big)",Suspension & Steering System,"BUSH STAB (Stabiliser bar bushes, big)",Auto Parts,Set,"152,555.00","27,460.00","180,014.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine Stabiliser bar bushes, small",Suspension & Steering System,"Stabiliser bar bushes, small",Auto Parts,Set,"275,946.00","49,670.00","325,617.00"
